ranking,team,PTS,PJ,PG,PE,PP,GF,GC,DG,YC,RD,Season
1,Real Madrid,100,38,32,4,2,121,32,89,94,5,11-12
2,Barcelona,91,38,28,7,3,114,29,85,78,5,11-12
3,Valencia,61,38,17,10,11,59,44,15,128,7,11-12
4,Malaga,58,38,17,7,14,54,53,1,75,7,11-12
5,Ath Madrid,56,38,15,11,12,53,46,7,130,4,11-12
6,Levante,55,38,16,7,15,54,50,4,122,3,11-12
7,Osasuna,54,38,13,15,10,44,61,-17,104,8,11-12
8,Mallorca,52,38,14,10,14,42,46,-4,120,6,11-12
9,Sevilla,50,38,13,11,14,48,47,1,113,8,11-12
10,Ath Bilbao,49,38,12,13,13,49,52,-3,111,8,11-12
11,Getafe,47,38,12,11,15,40,51,-11,130,8,11-12
12,Sociedad,47,38,12,11,15,46,52,-6,83,7,11-12
13,Betis,47,38,13,8,17,47,56,-9,104,7,11-12
14,Espanol,46,38,12,10,16,46,56,-10,131,7,11-12
15,Vallecano,43,38,13,4,21,53,73,-20,128,4,11-12
16,Zaragoza,43,38,12,7,19,36,61,-25,123,9,11-12
17,Granada,42,38,12,6,20,35,56,-21,112,10,11-12
18,Villarreal,41,38,9,14,15,39,53,-14,100,5,11-12
19,Sp Gijon,37,38,10,7,21,42,69,-27,121,5,11-12
20,Santander,27,38,4,15,19,28,63,-35,118,8,11-12
1,Barcelona,100,38,32,4,2,115,40,75,58,3,12-13
2,Real Madrid,85,38,26,7,5,103,42,61,93,6,12-13
3,Ath Madrid,76,38,23,7,8,65,31,34,102,5,12-13
4,Sociedad,66,38,18,12,8,70,49,21,96,2,12-13
5,Valencia,65,38,19,8,11,67,54,13,124,8,12-13
6,Malaga,57,38,16,9,13,53,50,3,93,6,12-13
7,Betis,56,38,16,8,14,57,56,1,118,7,12-13
8,Vallecano,53,38,16,5,17,50,66,-16,139,4,12-13
9,Sevilla,50,38,14,8,16,58,54,4,100,14,12-13
10,Getafe,47,38,13,8,17,43,57,-14,114,9,12-13
11,Levante,46,38,12,10,16,40,57,-17,114,7,12-13
12,Ath Bilbao,45,38,12,9,17,44,65,-21,120,9,12-13
13,Espanol,44,38,11,11,16,43,52,-9,150,12,12-13
14,Valladolid,43,38,11,10,17,49,58,-9,80,3,12-13
15,Granada,42,38,11,9,18,37,54,-17,104,5,12-13
16,Osasuna,39,38,10,9,19,33,50,-17,116,10,12-13
17,Celta,37,38,10,7,21,37,52,-15,102,4,12-13
18,Mallorca,36,38,9,9,20,43,72,-29,103,8,12-13
19,La Coruna,35,38,8,11,19,47,70,-23,103,8,12-13
20,Zaragoza,34,38,9,7,22,37,62,-25,130,11,12-13
1,Ath Madrid,90,38,28,6,4,77,26,51,97,3,13-14
2,Barcelona,87,38,27,6,5,100,33,67,71,1,13-14
3,Real Madrid,87,38,27,6,5,104,38,66,75,3,13-14
4,Ath Bilbao,70,38,20,10,8,66,39,27,78,4,13-14
5,Sevilla,63,38,18,9,11,69,52,17,116,8,13-14
6,Villarreal,59,38,17,8,13,60,44,16,74,4,13-14
7,Sociedad,59,38,16,11,11,62,55,7,76,1,13-14
8,Valencia,49,38,13,10,15,51,53,-2,98,4,13-14
9,Celta,49,38,14,7,17,49,54,-5,84,4,13-14
10,Levante,48,38,12,12,14,35,43,-8,114,9,13-14
11,Malaga,45,38,12,9,17,39,46,-7,122,9,13-14
12,Vallecano,43,38,13,4,21,46,80,-34,101,9,13-14
13,Getafe,42,38,11,9,18,35,54,-19,124,8,13-14
14,Espanol,42,38,11,9,18,41,51,-10,96,7,13-14
15,Granada,41,38,12,5,21,32,56,-24,103,9,13-14
16,Elche,40,38,9,13,16,30,50,-20,116,8,13-14
17,Almeria,40,38,11,7,20,43,71,-28,99,5,13-14
18,Osasuna,39,38,10,9,19,32,62,-30,88,8,13-14
19,Valladolid,36,38,7,15,16,38,60,-22,102,2,13-14
20,Betis,25,38,6,7,25,36,78,-42,111,9,13-14
1,Barcelona,94,38,30,4,4,110,21,89,68,3,14-15
2,Real Madrid,92,38,30,2,6,118,38,80,86,3,14-15
3,Ath Madrid,78,38,23,9,6,67,29,38,114,5,14-15
4,Valencia,77,38,22,11,5,70,32,38,108,9,14-15
5,Sevilla,76,38,23,7,8,71,45,26,117,2,14-15
6,Villarreal,60,38,16,12,10,48,37,11,95,2,14-15
7,Ath Bilbao,55,38,15,10,13,42,41,1,99,4,14-15
8,Celta,51,38,13,12,13,47,44,3,117,5,14-15
9,Malaga,50,38,14,8,16,42,48,-6,109,8,14-15
10,Espanol,49,38,13,10,15,47,51,-4,120,6,14-15
11,Vallecano,49,38,15,4,19,46,68,-22,109,6,14-15
12,Sociedad,46,38,11,13,14,44,51,-7,88,1,14-15
13,Elche,41,38,11,8,19,35,62,-27,108,6,14-15
14,Levante,37,38,9,10,19,34,67,-33,107,3,14-15
15,Getafe,37,38,10,7,21,33,64,-31,96,4,14-15
16,La Coruna,35,38,7,14,17,35,60,-25,109,4,14-15
17,Granada,35,38,7,14,17,29,64,-35,113,5,14-15
18,Eibar,35,38,9,8,21,34,55,-21,107,5,14-15
19,Almeria,29,38,8,8,22,35,64,-29,115,11,14-15
20,Cordoba,20,38,3,11,24,22,68,-46,100,9,14-15
1,Barcelona,91,38,29,4,5,112,29,83,66,1,15-16
2,Real Madrid,90,38,28,6,4,110,34,76,71,5,15-16
3,Ath Madrid,88,38,28,4,6,63,18,45,90,3,15-16
4,Villarreal,64,38,18,10,10,44,35,9,99,4,15-16
5,Ath Bilbao,62,38,18,8,12,58,45,13,85,6,15-16
6,Celta,60,38,17,9,12,51,59,-8,113,7,15-16
7,Sevilla,52,38,14,10,14,51,50,1,101,8,15-16
8,Malaga,48,38,12,12,14,38,35,3,108,5,15-16
9,Sociedad,48,38,13,9,16,45,48,-3,106,5,15-16
10,Betis,45,38,11,12,15,34,52,-18,110,5,15-16
11,Las Palmas,44,38,12,8,18,45,53,-8,97,4,15-16
12,Valencia,44,38,11,11,16,46,48,-2,107,7,15-16
13,Espanol,43,38,12,7,19,40,74,-34,125,5,15-16
14,Eibar,43,38,11,10,17,49,61,-12,106,4,15-16
15,La Coruna,42,38,8,18,12,45,61,-16,83,4,15-16
16,Granada,39,38,10,9,19,46,69,-23,139,7,15-16
17,Sp Gijon,39,38,10,9,19,40,62,-22,103,6,15-16
18,Vallecano,38,38,9,11,18,52,73,-21,112,10,15-16
19,Getafe,36,38,9,9,20,37,67,-30,128,6,15-16
20,Levante,32,38,8,8,22,37,70,-33,130,6,15-16
1,Real Madrid,93,38,29,6,3,106,41,65,75,2,16-17
2,Barcelona,90,38,28,6,4,116,37,79,74,1,16-17
3,Ath Madrid,78,38,23,9,6,70,27,43,83,3,16-17
4,Sevilla,72,38,21,9,8,69,49,20,106,4,16-17
5,Villarreal,67,38,19,10,9,56,33,23,90,4,16-17
6,Sociedad,64,38,19,7,12,59,53,6,84,6,16-17
7,Ath Bilbao,63,38,19,6,13,53,43,10,89,2,16-17
8,Espanol,56,38,15,11,12,49,50,-1,82,2,16-17
9,Alaves,55,38,14,13,11,41,43,-2,119,5,16-17
10,Eibar,54,38,15,9,14,56,51,5,95,7,16-17
11,Malaga,46,38,12,10,16,49,55,-6,113,7,16-17
12,Valencia,46,38,13,7,18,56,65,-9,111,6,16-17
13,Celta,45,38,13,6,19,53,69,-16,103,8,16-17
14,Las Palmas,39,38,10,9,19,53,74,-21,103,6,16-17
15,Betis,39,38,10,9,19,41,64,-23,105,5,16-17
16,La Coruna,36,38,8,12,18,43,61,-18,95,4,16-17
17,Leganes,35,38,8,11,19,36,55,-19,106,3,16-17
18,Sp Gijon,31,38,7,10,21,42,72,-30,116,4,16-17
19,Osasuna,22,38,4,10,24,40,94,-54,99,3,16-17
20,Granada,20,38,4,8,26,30,82,-52,113,6,16-17
1,Barcelona,93,38,28,9,1,99,29,70,68,2,17-18
2,Ath Madrid,79,38,23,10,5,58,22,36,93,5,17-18
3,Real Madrid,76,38,22,10,6,94,44,50,65,4,17-18
4,Valencia,73,38,22,7,9,65,38,27,103,5,17-18
5,Villarreal,61,38,18,7,13,57,50,7,113,6,17-18
6,Betis,60,38,18,6,14,60,61,-1,90,3,17-18
7,Sevilla,58,38,17,7,14,49,58,-9,97,3,17-18
8,Getafe,55,38,15,10,13,42,33,9,130,5,17-18
9,Eibar,51,38,14,9,15,44,50,-6,84,3,17-18
10,Girona,51,38,14,9,15,50,59,-9,105,0,17-18
11,Espanol,49,38,12,13,13,36,42,-6,87,1,17-18
12,Sociedad,49,38,14,7,17,66,59,7,62,5,17-18
13,Celta,49,38,13,10,15,59,60,-1,87,1,17-18
14,Alaves,47,38,15,2,21,40,50,-10,107,4,17-18
15,Levante,46,38,11,13,14,44,58,-14,109,6,17-18
16,Ath Bilbao,43,38,10,13,15,41,49,-8,93,0,17-18
17,Leganes,43,38,12,7,19,34,51,-17,102,5,17-18
18,	La Coruna,29,38,6,11,21,38,76,-38,99,2,17-18
19,Las Palmas,22,38,5,7,26,24,74,-50,88,3,17-18
20,Malaga,20,38,5,5,28,24,61,-37,97,8,17-18
1,Barcelona,87,38,26,9,3,90,36,54,76,2,18-19
2,Ath Madrid,76,38,22,10,6,55,29,26,100,5,18-19
3,Real Madrid,68,38,21,5,12,63,46,17,79,6,18-19
4,Valencia,61,38,15,16,7,51,35,16,89,3,18-19
5,Getafe,59,38,15,14,9,48,35,13,108,7,18-19
6,Sevilla,59,38,17,8,13,62,47,15,115,6,18-19
7,Espanol,53,38,14,11,13,48,50,-2,89,2,18-19
8,Ath Bilbao,53,38,13,14,11,41,45,-4,119,5,18-19
9,Sociedad,50,38,13,11,14,45,46,-1,80,4,18-19
10,Betis,50,38,14,8,16,44,52,-8,90,1,18-19
11,Alaves,50,38,13,11,14,39,50,-11,101,1,18-19
12,Eibar,47,38,11,14,13,46,50,-4,80,2,18-19
13,Leganes,45,38,11,12,15,37,43,-6,104,4,18-19
14,Villarreal,44,38,10,14,14,49,52,-3,115,3,18-19
15,Levante,44,38,11,11,16,59,66,-7,106,7,18-19
16,Valladolid,41,38,10,11,17,32,51,-19,92,0,18-19
17,Celta,41,38,10,11,17,53,62,-9,79,6,18-19
18,Girona,37,38,9,10,19,37,53,-16,81,4,18-19
19,Huesca,33,38,7,12,19,43,65,-22,113,3,18-19
20,Vallecano,32,38,8,8,22,41,70,-29,102,8,18-19
1,Real Madrid,87,38,26,9,3,70,25,45,79,4,19-20
2,Barcelona,82,38,25,7,6,86,38,48,89,6,19-20
3,Ath Madrid,70,38,18,16,4,51,27,24,91,3,19-20
4,Sevilla,70,38,19,13,6,54,34,20,97,1,19-20
5,Villarreal,60,38,18,6,14,63,49,14,78,1,19-20
6,Sociedad,56,38,16,8,14,56,48,8,79,2,19-20
7,Granada,56,38,16,8,14,52,45,7,108,1,19-20
8,Getafe,54,38,14,12,12,43,37,6,133,7,19-20
9,Valencia,53,38,14,11,13,46,53,-7,78,8,19-20
10,Osasuna,52,38,13,13,12,46,54,-8,106,6,19-20
11,Ath Bilbao,51,38,13,12,13,41,38,3,90,2,19-20
12,Levante,49,38,14,7,17,47,53,-6,75,5,19-20
13,Valladolid,42,38,9,15,14,32,43,-11,84,0,19-20
14,Eibar,42,38,11,9,18,39,56,-17,90,3,19-20
15,Betis,41,38,10,11,17,48,60,-12,107,9,19-20
16,Alaves,39,38,10,9,19,34,59,-25,108,7,19-20
17,Celta,37,38,7,16,15,37,49,-12,103,6,19-20
18,Leganes,36,38,8,12,18,30,51,-21,127,4,19-20
19,Mallorca,33,38,9,6,23,40,65,-25,89,5,19-20
20,Espanol,25,38,5,10,23,27,58,-31,101,9,19-20
1,Ath Madrid,86,38,26,8,4,67,25,42,100,0,20-21
2,Real Madrid,84,38,25,9,4,67,28,39,58,2,20-21
3,Barcelona,79,38,24,7,7,85,38,47,70,2,20-21
4,Sevilla,77,38,24,5,9,53,33,20,77,2,20-21
5,Sociedad,62,38,17,11,10,59,38,21,82,1,20-21
6,Betis,61,38,17,10,11,50,50,0,91,8,20-21
7,Villarreal,58,38,15,13,10,60,44,16,66,5,20-21
8,Celta,53,38,14,11,13,55,57,-2,107,5,20-21
9,Granada,46,38,13,7,18,47,65,-18,97,6,20-21
10,Ath Bilbao,46,38,11,13,14,46,42,4,82,3,20-21
11,Osasuna,44,38,11,11,16,37,48,-11,77,5,20-21
12,Cadiz,44,38,11,11,16,36,58,-22,79,3,20-21
13,Valencia,43,38,10,13,15,50,53,-3,79,5,20-21
14,Levante,41,38,9,14,15,46,57,-11,70,1,20-21
15,Getafe,38,38,9,11,18,28,43,-15,119,7,20-21
16,Alaves,38,38,9,11,18,36,57,-21,92,8,20-21
17,Elche,36,38,8,12,18,34,55,-21,97,3,20-21
18,Huesca,34,38,7,13,18,34,53,-19,68,2,20-21
19,Valladolid,31,38,5,16,17,34,57,-23,94,4,20-21
20,Eibar,30,38,6,12,20,29,52,-23,69,3,20-21
1,Real Madrid,86,38,26,8,4,80,31,49,76,0,21-22
2,Barcelona,73,38,21,10,7,68,38,30,94,5,21-22
3,Ath Madrid,71,38,21,8,9,65,43,22,109,7,21-22
4,Sevilla,70,38,18,16,4,53,30,23,96,4,21-22
5,Betis,65,38,19,8,11,62,40,22,86,6,21-22
6,Sociedad,62,38,17,11,10,40,37,3,77,4,21-22
7,Villarreal,59,38,16,11,11,63,37,26,80,1,21-22
8,Ath Bilbao,55,38,14,13,11,43,36,7,87,4,21-22
9,Valencia,48,38,11,15,12,48,53,-5,129,8,21-22
10,Osasuna,47,38,12,11,15,37,51,-14,84,2,21-22
11,Celta,46,38,12,10,16,43,43,0,87,3,21-22
12,Vallecano,42,38,11,9,18,39,50,-11,101,3,21-22
13,Elche,42,38,11,9,18,40,52,-12,104,6,21-22
14,Espanol,42,38,10,12,16,40,53,-13,96,7,21-22
15,Getafe,39,38,8,15,15,33,41,-8,120,8,21-22
16,Mallorca,39,38,10,9,19,36,63,-27,110,7,21-22
17,Cadiz,39,38,8,15,15,35,51,-16,103,3,21-22
18,Granada,38,38,8,14,16,44,61,-17,104,4,21-22
19,Levante,35,38,8,11,19,51,76,-25,107,6,21-22
20,Alaves,31,38,8,7,23,31,65,-34,90,4,21-22
